tanggal,region,ump_daily,ump
2024-11-27,Jakarta Barat,168912.7,5067381.0
2024-11-28,Jakarta Barat,168912.7,5067381.0
2024-11-29,Jakarta Barat,168912.7,5067381.0
2024-11-30,Jakarta Barat,168912.7,5067381.0
2024-12-01,Jakarta Barat,163463.90322580645,5067381.0
2024-12-02,Jakarta Barat,163463.90322580645,5067381.0
2024-12-03,Jakarta Barat,163463.90322580645,5067381.0
2024-12-04,Jakarta Barat,163463.90322580645,5067381.0
2024-12-05,Jakarta Barat,163463.90322580645,5067381.0
2024-12-06,Jakarta Barat,163463.90322580645,5067381.0
2024-12-07,Jakarta Barat,163463.90322580645,5067381.0
2024-12-08,Jakarta Barat,163463.90322580645,5067381.0
2024-12-09,Jakarta Barat,163463.90322580645,5067381.0
2024-12-10,Jakarta Barat,163463.90322580645,5067381.0
2024-12-11,Jakarta Barat,163463.90322580645,5067381.0
2024-12-12,Jakarta Barat,163463.90322580645,5067381.0
2024-12-13,Jakarta Barat,163463.90322580645,5067381.0
2024-12-14,Jakarta Barat,163463.90322580645,5067381.0
2024-12-15,Jakarta Barat,163463.90322580645,5067381.0
2024-12-16,Jakarta Barat,163463.90322580645,5067381.0
2024-12-17,Jakarta Barat,163463.90322580645,5067381.0
2024-12-18,Jakarta Barat,163463.90322580645,5067381.0
2024-12-19,Jakarta Barat,163463.90322580645,5067381.0
2024-12-20,Jakarta Barat,163463.90322580645,5067381.0
2024-12-21,Jakarta Barat,163463.90322580645,5067381.0
2024-12-22,Jakarta Barat,163463.90322580645,5067381.0
2024-12-23,Jakarta Barat,163463.90322580645,5067381.0
2024-12-24,Jakarta Barat,163463.90322580645,5067381.0
2024-12-25,Jakarta Barat,163463.90322580645,5067381.0
2024-12-26,Jakarta Barat,163463.90322580645,5067381.0
2024-12-27,Jakarta Barat,163463.90322580645,5067381.0
2024-12-28,Jakarta Barat,163463.90322580645,5067381.0
2024-12-29,Jakarta Barat,163463.90322580645,5067381.0
2024-12-30,Jakarta Barat,163463.90322580645,5067381.0
2024-12-31,Jakarta Barat,163463.90322580645,5067381.0
2025-01-01,Jakarta Barat,174089.06451612903,5396761.0
2025-01-02,Jakarta Barat,174089.06451612903,5396761.0
2025-01-03,Jakarta Barat,174089.06451612903,5396761.0
2025-01-04,Jakarta Barat,174089.06451612903,5396761.0
2025-01-05,Jakarta Barat,174089.06451612903,5396761.0
2025-01-06,Jakarta Barat,174089.06451612903,5396761.0
2025-01-07,Jakarta Barat,174089.06451612903,5396761.0
2025-01-08,Jakarta Barat,174089.06451612903,5396761.0
2025-01-09,Jakarta Barat,174089.06451612903,5396761.0
2025-01-10,Jakarta Barat,174089.06451612903,5396761.0
2025-01-11,Jakarta Barat,174089.06451612903,5396761.0
2025-01-12,Jakarta Barat,174089.06451612903,5396761.0
2025-01-13,Jakarta Barat,174089.06451612903,5396761.0
2025-01-14,Jakarta Barat,174089.06451612903,5396761.0
2025-01-15,Jakarta Barat,174089.06451612903,5396761.0
2025-01-16,Jakarta Barat,174089.06451612903,5396761.0
2025-01-17,Jakarta Barat,174089.06451612903,5396761.0
2025-01-18,Jakarta Barat,174089.06451612903,5396761.0
2025-01-19,Jakarta Barat,174089.06451612903,5396761.0
2025-01-20,Jakarta Barat,174089.06451612903,5396761.0
2025-01-21,Jakarta Barat,174089.06451612903,5396761.0
2025-01-22,Jakarta Barat,174089.06451612903,5396761.0
2025-01-23,Jakarta Barat,174089.06451612903,5396761.0
2025-01-24,Jakarta Barat,174089.06451612903,5396761.0
2025-01-25,Jakarta Barat,174089.06451612903,5396761.0
2025-01-26,Jakarta Barat,174089.06451612903,5396761.0
2025-01-27,Jakarta Barat,174089.06451612903,5396761.0
2025-01-28,Jakarta Barat,174089.06451612903,5396761.0
2025-01-29,Jakarta Barat,174089.06451612903,5396761.0
2025-01-30,Jakarta Barat,174089.06451612903,5396761.0
2025-01-31,Jakarta Barat,174089.06451612903,5396761.0
2025-02-01,Jakarta Barat,192741.4642857143,5396761.0
2025-02-02,Jakarta Barat,192741.4642857143,5396761.0
2025-02-03,Jakarta Barat,192741.4642857143,5396761.0
2025-02-04,Jakarta Barat,192741.4642857143,5396761.0
2025-02-05,Jakarta Barat,192741.4642857143,5396761.0
2025-02-06,Jakarta Barat,192741.4642857143,5396761.0
2025-02-07,Jakarta Barat,192741.4642857143,5396761.0
2025-02-08,Jakarta Barat,192741.4642857143,5396761.0
2025-02-09,Jakarta Barat,192741.4642857143,5396761.0
2025-02-10,Jakarta Barat,192741.4642857143,5396761.0
2025-02-11,Jakarta Barat,192741.4642857143,5396761.0
2025-02-12,Jakarta Barat,192741.4642857143,5396761.0
2025-02-13,Jakarta Barat,192741.4642857143,5396761.0
2025-02-14,Jakarta Barat,192741.4642857143,5396761.0
2025-02-15,Jakarta Barat,192741.4642857143,5396761.0
2025-02-16,Jakarta Barat,192741.4642857143,5396761.0
2025-02-17,Jakarta Barat,192741.4642857143,5396761.0
2025-02-18,Jakarta Barat,192741.4642857143,5396761.0
2025-02-19,Jakarta Barat,192741.4642857143,5396761.0
2025-02-20,Jakarta Barat,192741.4642857143,5396761.0
2025-02-21,Jakarta Barat,192741.4642857143,5396761.0
2025-02-22,Jakarta Barat,192741.4642857143,5396761.0
2025-02-23,Jakarta Barat,192741.4642857143,5396761.0
2025-02-24,Jakarta Barat,192741.4642857143,5396761.0
2025-02-25,Jakarta Barat,192741.4642857143,5396761.0
2025-02-26,Jakarta Barat,192741.4642857143,5396761.0
2025-02-27,Jakarta Barat,192741.4642857143,5396761.0
2025-02-28,Jakarta Barat,192741.4642857143,5396761.0
2025-03-01,Jakarta Barat,174089.06451612903,5396761.0
2025-03-02,Jakarta Barat,174089.06451612903,5396761.0
2025-03-03,Jakarta Barat,174089.06451612903,5396761.0
2025-03-04,Jakarta Barat,174089.06451612903,5396761.0
2025-03-05,Jakarta Barat,174089.06451612903,5396761.0
2025-03-06,Jakarta Barat,174089.06451612903,5396761.0
2025-03-07,Jakarta Barat,174089.06451612903,5396761.0
2025-03-08,Jakarta Barat,174089.06451612903,5396761.0
2025-03-09,Jakarta Barat,174089.06451612903,5396761.0
2025-03-10,Jakarta Barat,174089.06451612903,5396761.0
2025-03-11,Jakarta Barat,174089.06451612903,5396761.0
2025-03-12,Jakarta Barat,174089.06451612903,5396761.0
2025-03-13,Jakarta Barat,174089.06451612903,5396761.0
2025-03-14,Jakarta Barat,174089.06451612903,5396761.0
2025-03-15,Jakarta Barat,174089.06451612903,5396761.0
2025-03-16,Jakarta Barat,174089.06451612903,5396761.0
2025-03-17,Jakarta Barat,174089.06451612903,5396761.0
2025-03-18,Jakarta Barat,174089.06451612903,5396761.0
2025-03-19,Jakarta Barat,174089.06451612903,5396761.0
2025-03-20,Jakarta Barat,174089.06451612903,5396761.0
2025-03-21,Jakarta Barat,174089.06451612903,5396761.0
2025-03-22,Jakarta Barat,174089.06451612903,5396761.0
2025-03-23,Jakarta Barat,174089.06451612903,5396761.0
2025-03-24,Jakarta Barat,174089.06451612903,5396761.0
2025-03-25,Jakarta Barat,174089.06451612903,5396761.0
2025-03-26,Jakarta Barat,174089.06451612903,5396761.0
2025-03-27,Jakarta Barat,174089.06451612903,5396761.0
2025-03-28,Jakarta Barat,174089.06451612903,5396761.0
2025-03-29,Jakarta Barat,174089.06451612903,5396761.0
2025-03-30,Jakarta Barat,174089.06451612903,5396761.0
2025-03-31,Jakarta Barat,174089.06451612903,5396761.0
2025-04-01,Jakarta Barat,179892.03333333333,5396761.0
2025-04-02,Jakarta Barat,179892.03333333333,5396761.0
2025-04-03,Jakarta Barat,179892.03333333333,5396761.0
2025-04-04,Jakarta Barat,179892.03333333333,5396761.0
2025-04-05,Jakarta Barat,179892.03333333333,5396761.0
2025-04-06,Jakarta Barat,179892.03333333333,5396761.0
2025-04-07,Jakarta Barat,179892.03333333333,5396761.0
2025-04-08,Jakarta Barat,179892.03333333333,5396761.0
2025-04-09,Jakarta Barat,179892.03333333333,5396761.0
2025-04-10,Jakarta Barat,179892.03333333333,5396761.0
2025-04-11,Jakarta Barat,179892.03333333333,5396761.0
2025-04-12,Jakarta Barat,179892.03333333333,5396761.0
2025-04-13,Jakarta Barat,179892.03333333333,5396761.0
2025-04-14,Jakarta Barat,179892.03333333333,5396761.0
2025-04-15,Jakarta Barat,179892.03333333333,5396761.0
2025-04-16,Jakarta Barat,179892.03333333333,5396761.0
2025-04-17,Jakarta Barat,179892.03333333333,5396761.0
2025-04-18,Jakarta Barat,179892.03333333333,5396761.0
2025-04-19,Jakarta Barat,179892.03333333333,5396761.0
2025-04-20,Jakarta Barat,179892.03333333333,5396761.0
